Drug_ID,Protein_ID,KIBA_affinity
CHEMBL1991285,Q06418,3.299999496
CHEMBL1974288,P51817,0.100370545
CHEMBL215152,Q6PHR2,4.0
CHEMBL1981744,Q7L7X3,3.799999763
CHEMBL2001751,Q13131,1.2999429
CHEMBL1996931,Q13464,3.299999496
CHEMBL1969102,P12931,1.10002573
CHEMBL1993661,Q8N4C8,1.800029359
CHEMBL2005478,P07333,3.199999125
CHEMBL508928,Q06418,3.100001583
CHEMBL2000652,P06241,2.600003087
CHEMBL572878,Q8WXR4,4.0
CHEMBL1970903,P53667,2.900000965
CHEMBL271381,P51957,3.799999763
CHEMBL415049,P09619,2.056393462
CHEMBL2003689,P11309,3.799999763
CHEMBL105442,Q00536,4.0
CHEMBL508928,P06493,3.799999763
CHEMBL278041,Q9Y616,4.0
CHEMBL300138,P80192,4.0
CHEMBL1967887,P42685,3.400000617
CHEMBL1992536,P23443,3.799999763
CHEMBL404367,P53778,3.799999763
CHEMBL78917,Q04759,4.397940009
CHEMBL387971,Q9HCP0,3.799999763
CHEMBL468125,P28482,4.698970004
CHEMBL1966628,P08922,3.299999496
CHEMBL265502,Q04759,4.462397998
CHEMBL178737,P49840,0.113943352
CHEMBL1908394,Q96BR1,4.0
CHEMBL1988141,Q04759,2.900000965
CHEMBL1624529,Q13627,3.799999763
CHEMBL261849,Q9UQM7,3.949999936
CHEMBL1995927,Q13188,3.899999872
CHEMBL1985580,Q9Y243,4.0
CHEMBL1990496,Q9HAZ1,3.799999763
CHEMBL1992634,Q7KZI7,2.900000965
CHEMBL1988995,P05129,3.899999872
CHEMBL1980163,Q96PF2,3.199999125
CHEMBL1908392,O14920,4.0
CHEMBL249697,Q13976,4.0
CHEMBL105442,Q9P0L2,4.0
CHEMBL1982711,O75116,2.900000965
CHEMBL1969301,Q00535,4.0
CHEMBL1971029,P11309,4.0
CHEMBL1981720,O00444,3.500000321
CHEMBL1981744,O60674,3.400000617
CHEMBL514499,Q8NE63,3.899999872
CHEMBL1969664,Q5VT25,4.0
CHEMBL428690,Q13464,3.079181246
CHEMBL1990254,P45983,3.550000068
CHEMBL2006237,Q96KB5,4.0
CHEMBL1991434,Q9Y6M4,3.799999763
CHEMBL475817,P41240,4.477121255
CHEMBL2004118,P45983,2.200001865
CHEMBL1979516,P12931,2.0
CHEMBL428690,P29376,3.342422681
