Drug_ID,Protein_ID,KIBA_affinity,Drug_Cluster_ID,Protein_Cluster_ID
CHEMBL1765781,O00141,3.0,Cluster_203,Cluster_32
CHEMBL1788116,O00141,4.0,Cluster_254,Cluster_32
CHEMBL1929238,O00141,4.278753601,Cluster_123,Cluster_32
CHEMBL1933552,O00141,4.477121255,Cluster_201,Cluster_32
CHEMBL202930,O00141,4.698970004,Cluster_46,Cluster_32
CHEMBL204420,O00141,4.0,Cluster_356,Cluster_32
CHEMBL206783,O00141,4.0,Cluster_352,Cluster_32
CHEMBL207037,O00141,4.0,Cluster_354,Cluster_32
CHEMBL207130,O00141,4.0,Cluster_377,Cluster_32
CHEMBL207235,O00141,4.0,Cluster_352,Cluster_32
CHEMBL207246,O00141,4.0,Cluster_354,Cluster_32
CHEMBL207445,O00141,4.0,Cluster_485,Cluster_32
CHEMBL207584,O00141,4.0,Cluster_-1,Cluster_32
CHEMBL207674,O00141,4.0,Cluster_355,Cluster_32
CHEMBL207718,O00141,4.0,Cluster_377,Cluster_32
CHEMBL207815,O00141,4.0,Cluster_568,Cluster_32
CHEMBL208048,O00141,4.0,Cluster_333,Cluster_32
CHEMBL208292,O00141,4.0,Cluster_352,Cluster_32
CHEMBL208637,O00141,3.973127854,Cluster_5,Cluster_32
CHEMBL210032,O00141,3.973127854,Cluster_294,Cluster_32
CHEMBL211003,O00141,4.0,Cluster_400,Cluster_32
CHEMBL213423,O00141,4.0,Cluster_301,Cluster_32
CHEMBL214198,O00141,4.0,Cluster_301,Cluster_32
CHEMBL215652,O00141,4.0,Cluster_301,Cluster_32
CHEMBL223367,O00141,4.0,Cluster_98,Cluster_32
CHEMBL223460,O00141,4.0,Cluster_98,Cluster_32
CHEMBL2312290,O00141,4.477121255,Cluster_-1,Cluster_32
CHEMBL2312303,O00141,4.477121255,Cluster_224,Cluster_32
CHEMBL2312304,O00141,4.477121255,Cluster_224,Cluster_32
CHEMBL2333365,O00141,4.0,Cluster_321,Cluster_32
CHEMBL242753,O00141,4.176091259,Cluster_-1,Cluster_32
CHEMBL248757,O00141,3.912540883,Cluster_98,Cluster_32
CHEMBL373598,O00141,4.0,Cluster_98,Cluster_32
CHEMBL376967,O00141,4.0,Cluster_333,Cluster_32
CHEMBL377383,O00141,3.973127854,Cluster_321,Cluster_32
CHEMBL377772,O00141,4.0,Cluster_352,Cluster_32
CHEMBL378370,O00141,4.0,Cluster_355,Cluster_32
CHEMBL378627,O00141,3.973127854,Cluster_446,Cluster_32
CHEMBL379601,O00141,4.0,Cluster_355,Cluster_32
CHEMBL379905,O00141,4.0,Cluster_485,Cluster_32
CHEMBL379929,O00141,4.0,Cluster_-1,Cluster_32
CHEMBL380386,O00141,4.0,Cluster_333,Cluster_32
CHEMBL380454,O00141,4.0,Cluster_-1,Cluster_32
CHEMBL380889,O00141,4.0,Cluster_333,Cluster_32
CHEMBL382822,O00141,4.0,Cluster_317,Cluster_32
CHEMBL383760,O00141,4.0,Cluster_479,Cluster_32
