Drug_ID,Protein_ID,KIBA_affinityold,KIBA_affinity,affinity_bin
CHEMBL1765781,O00141,3.0,12.1,7
CHEMBL1788116,O00141,4.0,11.1,6
CHEMBL1929238,O00141,4.27875360095283,10.821246,6
CHEMBL1933552,O00141,4.47712125471966,10.622879,6
CHEMBL202930,O00141,4.69897000433602,10.40103,6
CHEMBL204420,O00141,4.0,11.1,6
CHEMBL206783,O00141,4.0,11.1,6
CHEMBL207037,O00141,4.0,11.1,6
CHEMBL207130,O00141,4.0,11.1,6
CHEMBL207235,O00141,4.0,11.1,6
CHEMBL207246,O00141,4.0,11.1,6
CHEMBL207445,O00141,4.0,11.1,6
CHEMBL207584,O00141,4.0,11.1,6
CHEMBL207674,O00141,4.0,11.1,6
CHEMBL207718,O00141,4.0,11.1,6
CHEMBL207815,O00141,4.0,11.1,6
CHEMBL208048,O00141,4.0,11.1,6
CHEMBL208292,O00141,4.0,11.1,6
CHEMBL208637,O00141,3.9731278535997,11.126872,6
CHEMBL210032,O00141,3.9731278535997,11.126872,6
CHEMBL211003,O00141,4.0,11.1,6
CHEMBL213423,O00141,4.0,11.1,6
CHEMBL214198,O00141,4.0,11.1,6
CHEMBL215652,O00141,4.0,11.1,6
CHEMBL223367,O00141,4.0,11.1,6
CHEMBL223460,O00141,4.0,11.1,6
CHEMBL2312290,O00141,4.47712125471966,10.622879,6
CHEMBL2312303,O00141,4.47712125471966,10.622879,6
CHEMBL2312304,O00141,4.47712125471966,10.622879,6
CHEMBL2333365,O00141,4.0,11.1,6
CHEMBL242753,O00141,4.17609125905568,10.923909,6
CHEMBL248757,O00141,3.91254088279064,11.187459,6
CHEMBL373598,O00141,4.0,11.1,6
CHEMBL376967,O00141,4.0,11.1,6
CHEMBL377383,O00141,3.9731278535997,11.126872,6
CHEMBL377772,O00141,4.0,11.1,6
CHEMBL378370,O00141,4.0,11.1,6
CHEMBL378627,O00141,3.9731278535997,11.126872,6
CHEMBL379601,O00141,4.0,11.1,6
CHEMBL379905,O00141,4.0,11.1,6
CHEMBL379929,O00141,4.0,11.1,6
CHEMBL380386,O00141,4.0,11.1,6
CHEMBL380454,O00141,4.0,11.1,6
CHEMBL380889,O00141,4.0,11.1,6
CHEMBL382822,O00141,4.0,11.1,6
CHEMBL383760,O00141,4.0,11.1,6
CHEMBL389745,O00141,4.0,11.1,6
CHEMBL395080,O00141,4.69897000433602,10.40103,6
CHEMBL398606,O00141,2.46239799789896,12.637602,7
CHEMBL438485,O00141,3.12057393120585,11.979426,6
CHEMBL485285,O00141,4.51851393987789,10.581486,6
CHEMBL485286,O00141,4.51851393987789,10.581486,6
CHEMBL583042,O00141,4.0,11.1,6
CHEMBL590109,O00141,2.83884909073726,12.261151,7
CHEMBL606964,O00141,5.09691001300806,10.00309,5
CHEMBL10,O00238,3.51851393987789,11.581486,6
CHEMBL101253,O00238,4.0,11.1,6
CHEMBL105442,O00238,4.0,11.1,6
CHEMBL1173655,O00238,4.0,11.1,6
CHEMBL119385,O00238,4.0,11.1,6
CHEMBL1230020,O00238,3.49136169383427,11.608638,6
CHEMBL1240703,O00238,4.0,11.1,6
CHEMBL1241674,O00238,0.322219294733919,14.777781,8
CHEMBL124660,O00238,4.0,11.1,6
CHEMBL1287853,O00238,2.61278385671974,12.487216,7
CHEMBL1289926,O00238,3.46239799789896,11.637602,6
CHEMBL1614701,O00238,4.0,11.1,6
CHEMBL162,O00238,2.23044892137827,12.869551,7
CHEMBL1789941,O00238,3.25527250510331,11.844727,6
CHEMBL180022,O00238,4.0,11.1,6
CHEMBL1908392,O00238,4.0,11.1,6
CHEMBL1908393,O00238,4.0,11.1,6
CHEMBL1908394,O00238,4.0,11.1,6
CHEMBL1908395,O00238,2.56820172406699,12.531798,7
CHEMBL1908396,O00238,3.34242268082221,11.757577,6
CHEMBL1908397,O00238,2.07918124604762,13.020819,7
CHEMBL215152,O00238,4.0,11.1,6
CHEMBL223360,O00238,2.85125834871908,12.248742,7
CHEMBL230011,O00238,4.0,11.1,6
CHEMBL24828,O00238,2.38021124171161,12.719789,7
CHEMBL249697,O00238,4.0,11.1,6
CHEMBL259084,O00238,4.0,11.1,6
CHEMBL261849,O00238,4.0,11.1,6
CHEMBL296468,O00238,4.0,11.1,6
CHEMBL31965,O00238,3.41497334797082,11.685027,6
CHEMBL377300,O00238,4.0,11.1,6
CHEMBL475251,O00238,2.85733249643127,12.242668,7
CHEMBL491473,O00238,4.0,11.1,6
CHEMBL494089,O00238,4.0,11.1,6
CHEMBL509032,O00238,-0.0705810742857073,15.170581,8
CHEMBL521851,O00238,4.0,11.1,6
CHEMBL522892,O00238,4.0,11.1,6
CHEMBL525191,O00238,3.25527250510331,11.844727,6
